Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
INS.E.001.ST,0.017958452022446,0.0063190636724522,0.0048234277642378,0.183283726528095,0.105364688772943,0,0.361593650848672,0.121774730383506,0,0,0,0.223312991118952,0.0301390485817119,0,0,0.871347579103948,0.0168237947655816,0,0,1.00988620662368,0,0.0355922983115812,0,0.386695194580454,0.936178193254999,2.98821965849781
INS.E.002.ST,0,0,0.0308000670760482,0.0501339827678408,0,0.327852872187339,0,0.285887420290468,0.0247525329737595,0.0603022227194134,0,0.221601875352295,0.0905091256419908,1.06891719137962,0.0446783223552098,1.28278683055959,0.0404986199556468,0,0,2.89037382165983,0.0418087970469372,0,0,0.348515066728623,0.982802346926982,6.46090368196598
INS.E.003.ST,0.489986632142992,0,0.0865791578979518,0.397130658207042,0,0.211947528077853,0,0.443628749960292,0.0400580861048459,0.000913623151849773,0,0.127445952968615,0.0150657520071345,1.36789098259819,0.193195617025518,1.06786728043383,0,0.0822177510901292,0,1.29606905453939,0,0,0.0600000000000001,0.128949727969194,1.05380611455408,5.81999682620563
INS.E.004.ST,0,0.026025048219231,0,0.0557148194389677,0,0.216058383959179,0,0.0594969863821968,0.0049539426041775,0,0,0.0926017088473081,0.0516706041018988,0,0.0177266496218853,0.158159383860872,0,0.0398083986593552,0,1.82029335914791,0.0216508241905649,0,0.03,0.194084172823546,1.1847964942573,2.56416010903355
INS.E.005.ST,0,0,0.100987307552365,1.2741964870723,0,0.295856318153537,0.49274206120781,0.205097026956066,0,0,0,0.354862388766391,0.19862094516009,0.231047810111434,0.165634422644503,0.606809876909188,0.263767887649403,0,0,0.991593995611501,0,0.0696725151038411,0.04,0.154396089131926,1.03464604677821,5.25088904289843
INS.E.006.ST,0.211744314372656,0,0.0673940743432327,0.310216766605586,0,0.236174525738329,0,0.139175081701911,0,0,0,0.139855576841264,0.106190671416744,0.0451138861277776,0.138983016798246,0.240419473202165,0,0,0,0.843114291891968,0,0.0388076766475937,0.03,0.171589956592117,1.04626835742235,2.51718935568747
INS.E.008.ST,0.986896865477079,0.661576551074802,0,3.09553705379744,0,0,1.98341020021998,0.813913543699816,0,0,0,0.573933701560097,0.123307372940385,0.120709463744362,1.31254401121551,0.942756589900301,0.0378856614805073,0.0324414340093544,0.379891778911383,0.590375724390771,0,0,0.02,0.224612105329718,1.00255237783969,11.6551799524218
INS.E.011.ST,0,0,0.00592306973934348,0.327431004284783,0,0.197277490031241,0,0.157111679088573,0,0,0,0.153474403736449,0.0408804968484621,0.0814825756634293,0.00835908624596165,0.531179587836881,0,0.135159853337594,0,0.583425950210485,0,0.0521537306294216,0.12,0.0818324230794169,1.07620105892357,2.27385892765262
INS.E.012.ST,1.075666635212,0,0.262820422653912,1.46635431540564,0,2.64614316138442,0,0.920641583408066,0,0,0,0.884080111739781,0.688381728176536,0.943694886118406,1.47751241326959,1.16918793104339,0,0,0,2.65278994131147,0.111823310334455,0,0.07,0.111114272833195,1.05336236714406,14.2990964400577
INS.E.013.ST,0.0225176734459258,0,0.00676400046565339,0.201201566026384,0,0.575030061295587,0,0.135547600959483,0,0,0,0.209216902838369,0.184439432663595,0,0.622369288917586,0.597510048178096,0,0,0,0.562191023244788,0,0,0.01,0.270153327237498,0.992326226767217,3.11678759803547
INS.E.016.ST,0,0,0.0262361876852955,0.0441547256596193,0,0.0830590991432125,0,0.13733918877007,0,0,0,0.0857356987446323,0.117509772919325,0,0.00427186462117607,0.561917018254437,0,0,0,0.928515199801539,0.0472847001306626,0,0.91,-0.0245731586427247,1.19355216035415,2.03602345572997
INS.E.018.ST,0,0,0.00412568240602432,0.897771952267957,0,0.354169251022533,0.548468554428627,0.271007754978039,0.0330582506279538,0,0,0.467714992204556,0.0283572776160795,0.392108674515686,0.220947718071087,1.27604219311599,0.0572407079461176,0,0,0.49033356290698,0,0.0175854558871999,0.02,0.220890989936754,1.0023607445468,5.05893202799483
INS.E.019.ST,0.22864900231143,0,0.119278615142217,1.21631487916101,0,0.487862173622457,0.375930483924917,0.40514048828965,0,0,0,0.484775170294345,0.0683400817643614,0,0.654834089234011,0.663057068178002,0,0.142907586263186,0,1.10355125245899,0,0.0422868708739493,0.07,0.120608395134975,1.05906107588923,5.99292776151852
INS.E.021.ST,0,0.0230154092858975,0.019990885140969,0.0895201096029821,0,0.11859709819694,0,0.0450726446064496,0.00346142458689552,0.0109445211787826,0,0.0255755498148479,0.210327726681005,1.89512394939736,0,0.853571233742258,0.12000817888368,0.00665454430279242,0,0.309504574177575,0,0,0,0.383081583774556,0.95435870040852,3.73136784959844
INS.E.022.ST,0.0170340734522951,0,0.0854183705245846,0.0930760467941288,0,0.268347216125704,0,0.280111278479768,0,0.0317351491888856,0,0.100946030098295,0,0.0258078878452878,0.125517170487695,0.637485568062567,0.256326676661936,0,0,1.36523844744248,0,0.0380347990789508,0.11,0.086011709938475,1.10716027000618,3.32507871424258
INS.E.023.ST,0.0843453043237802,0,0.0995602479113352,0.113871107369859,0,0.407190118743274,0,0.339299914662373,0,0,0,0.256760280503269,0.0242128458816619,0.0363312628096894,0.378634500500703,0.274978681906185,0.153719561979945,0.095483373172928,0,1.46208370521742,0.0109720429131223,0,0.0600000000000001,0.128908585039733,1.08898098973504,3.73744294789555
